motivation,name,year
for the discovery of water channels,Q102250_2003,2003
for their discovery of catalytic properties of RNA,Q102266_1989,1989
"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",Q102278_1972,1972
"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",Q102291_1922,1922
"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA",Q102379_1980,1980
for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),Q102395_1997,1997
"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",Q102406_1979,1979
for their contributions to the development of the concept of conformation and its application in chemistry,Q102419_1969,1969
"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",Q102804_1906,1906
in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,Q102822_1901,1901
"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",Q102830_1921,1921
for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,Q103835_1936,1936
for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,Q104575_1912,1912
"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",Q104582_1912,1912
for the development of asymmetric organocatalysis,Q105572_2021,2021
for palladium-catalyzed cross couplings in organic synthesis,Q105927_2010,2010
for their preparation of enzymes and virus proteins in a pure form,Q105937_1946,1946
for palladium-catalyzed cross couplings in organic synthesis,Q105949_2010,2010
for their preparation of enzymes and virus proteins in a pure form,Q106399_1946,1946
for palladium-catalyzed cross couplings in organic synthesis,Q106471_2010,2010
for his studies of the transition states of chemical reactions using femtosecond spectroscopy,Q106624_1999,1999
"for the discovery and development of the green fluorescent protein, GFP",Q106699_2008,2008
for their outstanding achievements in the development of direct methods for the determination of crystal structures,Q106733_1985,1985
for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,Q106738_2002,2002
for their discovery of fullerenes,Q106746_1996,1996
for the discovery and development of conductive polymers,Q106751_2000,2000
for his discovery that enzymes can be crystallized,Q106756_1946,1946
"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",Q106762_1967,1967
"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes",Q107405_1968,1968
for their outstanding achievements in the development of direct methods for the determination of crystal structures,Q107422_1985,1985
for their development and use of molecules with structure-specific interactions of high selectivity,Q107690_1987,1987
for studies of the structure and function of the ribosome,Q109559_2009,2009
"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures",Q110073_1949,1949
for the discovery and development of conductive polymers,Q110916_2000,2000
for his work on chirally catalysed oxidation reactions,Q110925_2001,2001
for the development of click chemistry and bioorthogonal chemistry,Q110925_2022,2022
for their discovery of fullerenes,Q110930_1996,1996
for his studies on the structure of boranes illuminating problems of chemical bonding,Q110935_1976,1976
for the discovery and development of conductive polymers,Q110942_2000,2000
for their work on chirally catalysed hydrogenation reactions,Q110947_2001,2001
for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,Q110952_1972,1972
