start_id,relation,end_name
Peter Agre,RECEIVED,Q102250_2003
Q102250_2003,IS_INSTANCE_OF,Nobel Prize in Chemistry
Peter Agre,IS_CITIZEN_OF,United States
Peter Agre,WORKS_AS,molecular biologist
Peter Agre,WORKS_AS,university teacher
Peter Agre,WORKS_AS,chemist
Peter Agre,WORKS_AS,physician
Peter Agre,WORKS_IN_FIELD,molecular biology
Peter Agre,EDUCATED_AT,Johns Hopkins School of Medicine
Peter Agre,EDUCATED_AT,Augsburg University
Peter Agre,EDUCATED_AT,Roosevelt High School
Peter Agre,EDUCATED_AT,Johns Hopkins University
Peter Agre,EMPLOYED_BY,Johns Hopkins University
Peter Agre,EMPLOYED_BY,Johns Hopkins School of Medicine
Peter Agre,EMPLOYED_BY,Duke University
Peter Agre,IS_MEMBER_OF,American Academy of Arts and Sciences
Peter Agre,IS_MEMBER_OF,National Academy of Sciences
Peter Agre,IS_MEMBER_OF,Russian Academy of Sciences
Peter Agre,IS_MEMBER_OF,Royal Danish Academy of Sciences and Letters
Peter Agre,IS_MEMBER_OF,American Philosophical Society
Peter Agre,IS_MEMBER_OF,American Association for the Advancement of Science
Sidney Altman,RECEIVED,Q102266_1989
Q102266_1989,IS_INSTANCE_OF,Nobel Prize in Chemistry
Sidney Altman,IS_CITIZEN_OF,Canada
Sidney Altman,IS_CITIZEN_OF,United States
Sidney Altman,WORKS_AS,university teacher
Sidney Altman,WORKS_AS,biologist
Sidney Altman,WORKS_AS,chemist
Sidney Altman,WORKS_AS,physicist
Sidney Altman,WORKS_AS,molecular biologist
Sidney Altman,WORKS_AS,biophysicist
Sidney Altman,WORKS_AS,academic
Sidney Altman,WORKS_AS,biochemist
Sidney Altman,WORKS_IN_FIELD,biochemistry
Sidney Altman,WORKS_IN_FIELD,molecular biology
Sidney Altman,EDUCATED_AT,Massachusetts Institute of Technology
Sidney Altman,EDUCATED_AT,Columbia University
Sidney Altman,EDUCATED_AT,University of Colorado Boulder
Sidney Altman,EMPLOYED_BY,Harvard University
Sidney Altman,IS_MEMBER_OF,American Philosophical Society
Sidney Altman,IS_MEMBER_OF,American Academy of Arts and Sciences
Sidney Altman,IS_MEMBER_OF,National Academy of Sciences
Sidney Altman,IS_MEMBER_OF,American Association for the Advancement of Science
Christian B. Anfinsen,RECEIVED,Q102278_1972
Q102278_1972,IS_INSTANCE_OF,Nobel Prize in Chemistry
Christian B. Anfinsen,IS_CITIZEN_OF,United States
Christian B. Anfinsen,WORKS_AS,biophysicist
Christian B. Anfinsen,WORKS_AS,biochemist
Christian B. Anfinsen,WORKS_AS,university teacher
Christian B. Anfinsen,WORKS_AS,chemist
Christian B. Anfinsen,WORKS_IN_FIELD,biochemistry
Christian B. Anfinsen,EDUCATED_AT,Harvard Medical School
Christian B. Anfinsen,EDUCATED_AT,University of Pennsylvania
Christian B. Anfinsen,EDUCATED_AT,Swarthmore College
Christian B. Anfinsen,EDUCATED_AT,Monessen High School
Christian B. Anfinsen,EMPLOYED_BY,Harvard University
Christian B. Anfinsen,EMPLOYED_BY,Johns Hopkins University
Christian B. Anfinsen,IS_MEMBER_OF,Pontifical Academy of Sciences
Christian B. Anfinsen,IS_MEMBER_OF,American Academy of Arts and Sciences
Christian B. Anfinsen,IS_MEMBER_OF,National Academy of Sciences
Francis William Aston,RECEIVED,Q102291_1922
Q102291_1922,IS_INSTANCE_OF,Nobel Prize in Chemistry
Francis William Aston,IS_CITIZEN_OF,United Kingdom
Francis William Aston,WORKS_AS,physicist
Francis William Aston,WORKS_AS,chemist
Francis William Aston,WORKS_IN_FIELD,physics
Francis William Aston,WORKS_IN_FIELD,chemistry
Francis William Aston,EDUCATED_AT,Trinity College
Francis William Aston,EDUCATED_AT,University of Birmingham
Francis William Aston,EDUCATED_AT,Malvern College
Francis William Aston,EDUCATED_AT,University of London
Francis William Aston,EMPLOYED_BY,University of Birmingham
Francis William Aston,EMPLOYED_BY,University of Oxford
Francis William Aston,IS_MEMBER_OF,Royal Society
Francis William Aston,IS_MEMBER_OF,Russian Academy of Sciences
Francis William Aston,IS_MEMBER_OF,Academy of Sciences of the USSR
Paul Berg,RECEIVED,Q102379_1980
Q102379_1980,IS_INSTANCE_OF,Nobel Prize in Chemistry
Paul Berg,IS_CITIZEN_OF,United States
Paul Berg,WORKS_AS,molecular biologist
Paul Berg,WORKS_AS,biochemist
Paul Berg,WORKS_AS,researcher
Paul Berg,WORKS_AS,chemist
Paul Berg,WORKS_IN_FIELD,biochemistry
Paul Berg,EDUCATED_AT,Case Western Reserve University
Paul Berg,EDUCATED_AT,Abraham Lincoln High School
Paul Berg,EDUCATED_AT,Pennsylvania State University
Paul Berg,EDUCATED_AT,Clare Hall
Paul Berg,EMPLOYED_BY,Stanford University
Paul Berg,IS_MEMBER_OF,American Academy of Arts and Sciences
Paul Berg,IS_MEMBER_OF,National Academy of Sciences
Paul Berg,IS_MEMBER_OF,French Academy of Sciences
Paul Berg,IS_MEMBER_OF,Royal Society
Paul Berg,IS_MEMBER_OF,American Association for the Advancement of Science
Paul Berg,IS_MEMBER_OF,European Molecular Biology Organization
Paul Berg,IS_MEMBER_OF,Pontifical Academy of Sciences
Paul Berg,IS_MEMBER_OF,American Philosophical Society
Paul D. Boyer,RECEIVED,Q102395_1997
Q102395_1997,IS_INSTANCE_OF,Nobel Prize in Chemistry
Paul D. Boyer,IS_CITIZEN_OF,United States
