laureate,laureateName,award,awardName,year,has_family_name,has_gender,born_on_date,died_on_date,is_citizen_of,educated_at,works_as,employed_by,holds_position,works_in_field,is_member_of,has_motivation,has_notable_work
http://www.wikidata.org/entity/Q102250,Peter Agre,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,2003,Agre,male,1949-01-30,,United States,"Johns Hopkins School of Medicine, Augsburg University, Roosevelt High School, Johns Hopkins University","molecular biologist, university teacher, chemist, physician","Johns Hopkins University, Johns Hopkins School of Medicine, Duke University",,molecular biology,"American Academy of Arts and Sciences, National Academy of Sciences, Russian Academy of Sciences, Royal Danish Academy of Sciences and Letters, American Philosophical Society, American Association for the Advancement of Science",for the discovery of water channels,
http://www.wikidata.org/entity/Q102266,Sidney Altman,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1989,Altman,male,1939-05-07,2022-04-05,"Canada, United States","Massachusetts Institute of Technology, Columbia University, University of Colorado Boulder","university teacher, biologist, chemist, physicist, molecular biologist, biophysicist, academic, biochemist",Harvard University,,"biochemistry, molecular biology","American Philosophical Society, American Academy of Arts and Sciences, National Academy of Sciences, American Association for the Advancement of Science",for their discovery of catalytic properties of RNA,
http://www.wikidata.org/entity/Q102278,Christian B. Anfinsen,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1972,Anfinsen,male,1916-03-26,1995-05-14,United States,"Harvard Medical School, University of Pennsylvania, Swarthmore College, Monessen High School","biophysicist, biochemist, university teacher, chemist","Harvard University, Johns Hopkins University",,biochemistry,"Pontifical Academy of Sciences, American Academy of Arts and Sciences, National Academy of Sciences","for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",
http://www.wikidata.org/entity/Q102291,Francis William Aston,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1922,Aston,male,1877-09-01,1945-11-20,United Kingdom,"Trinity College, University of Birmingham, Malvern College, University of London","physicist, chemist","University of Birmingham, University of Oxford",,"physics, chemistry","Royal Society, Russian Academy of Sciences, Academy of Sciences of the USSR","for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",mass spectrometry
http://www.wikidata.org/entity/Q102379,Paul Berg,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1980,Berg,male,1926-06-30,2023-02-15,United States,"Case Western Reserve University, Abraham Lincoln High School, Pennsylvania State University, Clare Hall","molecular biologist, biochemist, researcher, chemist",Stanford University,,biochemistry,"American Academy of Arts and Sciences, National Academy of Sciences, French Academy of Sciences, Royal Society, American Association for the Advancement of Science, European Molecular Biology Organization, Pontifical Academy of Sciences, American Philosophical Society","for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA",
http://www.wikidata.org/entity/Q102395,Paul D. Boyer,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1997,Boyer,male,1918-07-31,2018-06-02,United States,"Brigham Young University, University of Wisconsin–Madison, Provo High School","biochemist, university teacher, chemist","University of California, Los Angeles, University of Minnesota",,"chemistry, biochemistry, analytical chemistry","American Philosophical Society, American Academy of Arts and Sciences, National Academy of Sciences",for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),
http://www.wikidata.org/entity/Q102406,Herbert C. Brown,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1979,Brown,male,1912-05-22,2004-12-19,"United Kingdom, United States","University of Chicago, Malcolm X College, Wilbur Wright College","university teacher, chemist, writer","University of Chicago, Purdue University, Wayne State University",,organic chemistry,"American Academy of Arts and Sciences, National Academy of Sciences","for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",
http://www.wikidata.org/entity/Q102419,Derek Barton,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1969,Barton,male,1918-09-08,1998-03-16,United Kingdom,"Tonbridge School, Gravesend Grammar School, King's School, Rochester, Imperial College London, University of London","chemist, university teacher","Texas A&M University, Imperial College London, University of Glasgow, National Center for Scientific Research, Birkbeck, University of London, Harvard University",Regius Professor of Chemistry,"organic chemistry, stereochemistry","Chinese Academy of Sciences, Serbian Academy of Sciences and Arts, German Academy of Sciences Leopoldina, American Academy of Arts and Sciences, National Academy of Sciences, Slovenian Academy of Sciences and Arts, Royal Society, Royal Society of Edinburgh, Russian Academy of Sciences",for their contributions to the development of the concept of conformation and its application in chemistry,
http://www.wikidata.org/entity/Q102804,Henri Moissan,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1906,Moissan,male,1852-09-28,1907-02-20,France,École pratique des hautes études,"university teacher, chemist, pharmacist, pharmacologist","University of Paris, Sorbonne",,chemistry,"Academy of Sciences of Turin, Royal Prussian Academy of Sciences, Académie Nationale de Médecine, Royal Netherlands Academy of Arts and Sciences, Hungarian Academy of Sciences, National Academy of Sciences, French Academy of Sciences, Royal Society, Russian Academy of Sciences","in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",
http://www.wikidata.org/entity/Q102822,Jacobus Henricus van 't Hoff,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1901,Van 't Hoff,male,1852-08-30,1911-03-01,Kingdom of the Netherlands,"Leiden University, University of Paris, Utrecht University, Delft University of Technology, University of Bonn","professor, engineer, stereochemist, university teacher, chemist, geologist, physicist","Utrecht University, Frederick William University Berlin, Humboldt-Universität zu Berlin, University of Amsterdam",,"organic chemistry, physical chemistry","National Academy of Sciences, French Academy of Sciences, Royal Society, Russian Academy of Sciences, Hungarian Academy of Sciences, Royal Swedish Academy of Sciences, Royal Netherlands Academy of Arts and Sciences, American Academy of Arts and Sciences, Royal Prussian Academy of Sciences, Göttingen Academy of Sciences and Humanities in Lower Saxony, Royal Physiographic Society in Lund, Academy of Sciences of Turin, Saint Petersburg Academy of Sciences",in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,
