qid,name,url
Q102250,Peter Agre,https://en.wikipedia.org/wiki/Peter_Agre
Q102266,Sidney Altman,https://en.wikipedia.org/wiki/Sidney_Altman
Q102278,Christian B. Anfinsen,https://en.wikipedia.org/wiki/Christian_B._Anfinsen
Q102291,Francis William Aston,https://en.wikipedia.org/wiki/Francis_William_Aston
Q102379,Paul Berg,https://en.wikipedia.org/wiki/Paul_Berg
Q102395,Paul D. Boyer,https://en.wikipedia.org/wiki/Paul_D._Boyer
Q102406,Herbert C. Brown,https://en.wikipedia.org/wiki/Herbert_C._Brown
Q102419,Derek Barton,https://en.wikipedia.org/wiki/Derek_Barton
Q102804,Henri Moissan,https://en.wikipedia.org/wiki/Henri_Moissan
Q102822,Jacobus Henricus van 't Hoff,https://en.wikipedia.org/wiki/Jacobus_Henricus_van_'t_Hoff
Q102830,Frederick Soddy,https://en.wikipedia.org/wiki/Frederick_Soddy
Q103835,Peter Debye,https://en.wikipedia.org/wiki/Peter_Debye
Q104575,Paul Sabatier,https://en.wikipedia.org/wiki/Paul_Sabatier_(chemist)
Q104582,Victor Grignard,https://en.wikipedia.org/wiki/Victor_Grignard
Q105572,Benjamin List,https://en.wikipedia.org/wiki/Benjamin_List
Q105927,Ei-ichi Negishi,https://en.wikipedia.org/wiki/Ei-ichi_Negishi
Q105937,Wendell Meredith Stanley,https://en.wikipedia.org/wiki/Wendell_Meredith_Stanley
Q105949,Akira Suzuki,https://en.wikipedia.org/wiki/Akira_Suzuki
Q106399,John Howard Northrop,https://en.wikipedia.org/wiki/John_Howard_Northrop
Q106471,Richard F. Heck,https://en.wikipedia.org/wiki/Richard_F._Heck
Q106624,Ahmed Zewail,https://en.wikipedia.org/wiki/Ahmed_Zewail
Q106699,Martin Chalfie,https://en.wikipedia.org/wiki/Martin_Chalfie
Q106733,Jerome Karle,https://en.wikipedia.org/wiki/Jerome_Karle
Q106738,John Fenn,https://en.wikipedia.org/wiki/John_B._Fenn
Q106746,Richard Smalley,https://en.wikipedia.org/wiki/Richard_Smalley
Q106751,Alan J. Heeger,https://en.wikipedia.org/wiki/Alan_J._Heeger
Q106756,James B. Sumner,https://en.wikipedia.org/wiki/James_B._Sumner
Q106762,George Porter,https://en.wikipedia.org/wiki/George_Porter
Q107405,Lars Onsager,https://en.wikipedia.org/wiki/Lars_Onsager
Q107422,Herbert A. Hauptman,https://en.wikipedia.org/wiki/Herbert_A._Hauptman
Q107690,Jean-Marie Lehn,https://en.wikipedia.org/wiki/Jean-Marie_Lehn
Q109559,Thomas A. Steitz,https://en.wikipedia.org/wiki/Thomas_A._Steitz
Q110073,William Giauque,https://en.wikipedia.org/wiki/William_Giauque
Q110916,Hideki Shirakawa,https://en.wikipedia.org/wiki/Hideki_Shirakawa
Q110925,Karl Barry Sharpless,https://en.wikipedia.org/wiki/Karl_Barry_Sharpless
Q110930,Robert Curl,https://en.wikipedia.org/wiki/Robert_Curl
Q110935,William Lipscomb,https://en.wikipedia.org/wiki/William_Lipscomb
Q110942,Alan MacDiarmid,https://en.wikipedia.org/wiki/Alan_MacDiarmid
Q110947,William Standish Knowles,https://en.wikipedia.org/wiki/William_Standish_Knowles
Q110952,Stanford Moore,https://en.wikipedia.org/wiki/Stanford_Moore
Q110957,Kurt Wüthrich,https://en.wikipedia.org/wiki/Kurt_Wüthrich
Q110963,Koichi Tanaka,https://en.wikipedia.org/wiki/Koichi_Tanaka
Q111190,F. Sherwood Rowland,https://en.wikipedia.org/wiki/F._Sherwood_Rowland
Q11401680,Susumu Kitagawa,https://en.wikipedia.org/wiki/Susumu_Kitagawa
Q122272,Richard R. Ernst,https://en.wikipedia.org/wiki/Richard_R._Ernst
Q122996,Leopold Ružička,https://en.wikipedia.org/wiki/Leopold_Ružička
Q123014,Alfred Werner,https://en.wikipedia.org/wiki/Alfred_Werner
Q12658,Wilhelm Ostwald,https://en.wikipedia.org/wiki/Wilhelm_Ostwald
Q1351105,Eric Betzig,https://en.wikipedia.org/wiki/Eric_Betzig
Q135139,Paul Josef Crutzen,https://en.wikipedia.org/wiki/Paul_J._Crutzen
Q135151,Donald J. Cram,https://en.wikipedia.org/wiki/Donald_J._Cram
Q135154,John Cornforth,https://en.wikipedia.org/wiki/John_Cornforth
Q135171,Elias James Corey,https://en.wikipedia.org/wiki/Elias_James_Corey
Q135180,Thomas Cech,https://en.wikipedia.org/wiki/Thomas_Cech
Q1387059,William E. Moerner,https://en.wikipedia.org/wiki/William_E._Moerner
Q150989,Frédéric Joliot-Curie,https://en.wikipedia.org/wiki/Frédéric_Joliot-Curie
Q15118973,Aziz Sancar,https://en.wikipedia.org/wiki/Aziz_Sancar
Q151564,Frederick Sanger,https://en.wikipedia.org/wiki/Frederick_Sanger
Q15433043,Moungi Bawendi,https://en.wikipedia.org/wiki/Moungi_Bawendi
Q1545000,Greg Winter,https://en.wikipedia.org/wiki/Gregory_Winter
Q1547368,Alexey Ekimov,https://en.wikipedia.org/wiki/Alexey_Ekimov
Q156492,William Howard Stein,https://en.wikipedia.org/wiki/William_Howard_Stein
Q157210,Ryōji Noyori,https://en.wikipedia.org/wiki/Ryōji_Noyori
Q157212,Odd Hassel,https://en.wikipedia.org/wiki/Odd_Hassel
Q157224,Kary Mullis,https://en.wikipedia.org/wiki/Kary_Mullis
Q157239,Artturi Ilmari Virtanen,https://en.wikipedia.org/wiki/Artturi_Ilmari_Virtanen
Q157242,"Alexander R. Todd, Baron Todd",https://en.wikipedia.org/wiki/Alec_Todd
Q157250,Harry Kroto,https://en.wikipedia.org/wiki/Harry_Kroto
Q157701,Jaroslav Heyrovský,https://en.wikipedia.org/wiki/Jaroslav_Heyrovský
Q1678456,Richard Henderson,https://en.wikipedia.org/wiki/Richard_Henderson_(biologist)
Q1687170,Jens Christian Skou,https://en.wikipedia.org/wiki/Jens_Christian_Skou
Q170676,Roger D. Kornberg,https://en.wikipedia.org/wiki/Roger_D._Kornberg
Q17280087,Emmanuelle Charpentier,https://en.wikipedia.org/wiki/Emmanuelle_Charpentier
Q176351,Paul Flory,https://en.wikipedia.org/wiki/Paul_Flory
Q179777,Harold Urey,https://en.wikipedia.org/wiki/Harold_Urey
Q183509,Ilya Prigogine,https://en.wikipedia.org/wiki/Ilya_Prigogine
Q184286,Irving Langmuir,https://en.wikipedia.org/wiki/Irving_Langmuir
Q186391,Theodor Svedberg,https://en.wikipedia.org/wiki/Theodor_Svedberg
Q1886068,Tomas Lindahl,https://en.wikipedia.org/wiki/Tomas_Lindahl
Q189465,Theodore William Richards,https://en.wikipedia.org/wiki/Theodore_William_Richards
Q189803,Arthur Harden,https://en.wikipedia.org/wiki/Arthur_Harden
Q19009,Edwin McMillan,https://en.wikipedia.org/wiki/Edwin_McMillan
Q19045,Mario Molina,https://en.wikipedia.org/wiki/Mario_Molina
Q190486,Willard Libby,https://en.wikipedia.org/wiki/Willard_Libby
Q190626,Aaron Klug,https://en.wikipedia.org/wiki/Aaron_Klug
Q192603,George Andrew Olah,https://en.wikipedia.org/wiki/George_Andrew_Olah
Q194646,Louis E. Brus,https://en.wikipedia.org/wiki/Louis_E._Brus
Q200470,Roger Y. Tsien,https://en.wikipedia.org/wiki/Roger_Y._Tsien
Q202140,Robert H. Grubbs,https://en.wikipedia.org/wiki/Robert_H._Grubbs
Q202146,Yves Chauvin,https://en.wikipedia.org/wiki/Yves_Chauvin
Q202159,Richard R. Schrock,https://en.wikipedia.org/wiki/Richard_R._Schrock
Q204600,Norman Haworth,https://en.wikipedia.org/wiki/Norman_Haworth
Q205345,Osamu Shimomura,https://en.wikipedia.org/wiki/Osamu_Shimomura
Q207992,Peter D. Mitchell,https://en.wikipedia.org/wiki/Peter_D._Mitchell
Q211482,Roderick MacKinnon,https://en.wikipedia.org/wiki/Roderick_MacKinnon
Q217486,Walter Gilbert,https://en.wikipedia.org/wiki/Walter_Gilbert
Q217734,Kenichi Fukui,https://en.wikipedia.org/wiki/Kenichi_Fukui
Q224153,Robert Bruce Merrifield,https://en.wikipedia.org/wiki/Robert_Bruce_Merrifield
Q230652,Irwin Rose,https://en.wikipedia.org/wiki/Irwin_Rose
Q23073819,Richard Robson,https://en.wikipedia.org/wiki/Richard_Robson_(chemist)
Q232289,Michael Smith,https://en.wikipedia.org/wiki/Michael_Smith_(chemist)
Q232295,John Kendrew,https://en.wikipedia.org/wiki/John_Kendrew
Q232302,Avram Hershko,https://en.wikipedia.org/wiki/Avram_Hershko
Q232316,Robert Burns Woodward,https://en.wikipedia.org/wiki/Robert_Burns_Woodward
Q233026,Arne Tiselius,https://en.wikipedia.org/wiki/Arne_Tiselius
Q233205,Aaron Ciechanover,https://en.wikipedia.org/wiki/Aaron_Ciechanover
Q233355,Robert S. Mulliken,https://en.wikipedia.org/wiki/Robert_S._Mulliken
Q233973,John Pople,https://en.wikipedia.org/wiki/John_Pople
Q233985,Luis Federico Leloir,https://en.wikipedia.org/wiki/Luis_Federico_Leloir
Q234145,Giulio Natta,https://en.wikipedia.org/wiki/Giulio_Natta
Q235184,John E. Walker,https://en.wikipedia.org/wiki/John_E._Walker
Q235834,Ronald George Wreyford Norrish,https://en.wikipedia.org/wiki/Ronald_George_Wreyford_Norrish
Q235983,Henry Taube,https://en.wikipedia.org/wiki/Henry_Taube
Q237825,John Polanyi,https://en.wikipedia.org/wiki/John_Polanyi
Q239067,Rudolph A. Marcus,https://en.wikipedia.org/wiki/Rudolph_A._Marcus
Q243190,Yuan T. Lee,https://en.wikipedia.org/wiki/Yuan_T._Lee
Q243196,Dudley R. Herschbach,https://en.wikipedia.org/wiki/Dudley_R._Herschbach
Q244998,Charles J. Pedersen,https://en.wikipedia.org/wiki/Charles_J._Pedersen
Q273279,Roald Hoffmann,https://en.wikipedia.org/wiki/Roald_Hoffmann
Q274128,Geoffrey Wilkinson,https://en.wikipedia.org/wiki/Geoffrey_Wilkinson
Q285062,M. Stanley Whittingham,https://en.wikipedia.org/wiki/M._Stanley_Whittingham
Q28833112,Joachim Frank,https://en.wikipedia.org/wiki/Joachim_Frank
Q3022141,Demis Hassabis,https://en.wikipedia.org/wiki/Demis_Hassabis
Q3169751,Jean-Pierre Sauvage,https://en.wikipedia.org/wiki/Jean-Pierre_Sauvage
Q3259614,Ben Feringa,https://en.wikipedia.org/wiki/Ben_Feringa
