born_on_date,died_on_date,family_name,gender,id,name,notable_work
1949-01-30,,Agre,male,Q102250,Peter Agre,
1939-05-07,2022-04-05,Altman,male,Q102266,Sidney Altman,
1916-03-26,1995-05-14,Anfinsen,male,Q102278,Christian B. Anfinsen,
1877-09-01,1945-11-20,Aston,male,Q102291,Francis William Aston,mass spectrometry
1926-06-30,2023-02-15,Berg,male,Q102379,Paul Berg,
1918-07-31,2018-06-02,Boyer,male,Q102395,Paul D. Boyer,
1912-05-22,2004-12-19,Brown,male,Q102406,Herbert C. Brown,
1918-09-08,1998-03-16,Barton,male,Q102419,Derek Barton,
1852-09-28,1907-02-20,Moissan,male,Q102804,Henri Moissan,
1852-08-30,1911-03-01,Van 't Hoff,male,Q102822,Jacobus Henricus van 't Hoff,
1877-09-02,1956-09-22,Soddy,male,Q102830,Frederick Soddy,
1884-03-24,1966-11-02,Debije,male,Q103835,Peter Debye,"Debye length, Debye–Hückel equation"
1854-11-05,1941-08-14,Sabatier,male,Q104575,Paul Sabatier,"Sabatier nickel, Sabatier reaction"
1871-05-06,1935-12-13,Grignard,male,Q104582,Victor Grignard,
1968-01-11,,List,male,Q105572,Benjamin List,asymmetric organocatalysis
1935-07-14,2021-06-06,Negishi,male,Q105927,Ei-ichi Negishi,
1904-08-16,1971-06-15,Stanley,male,Q105937,Wendell Meredith Stanley,
1930-09-12,,Suzuki,male,Q105949,Akira Suzuki,
1891-07-05,1987-05-27,Northrop,male,Q106399,John Howard Northrop,
1931-08-15,2015-10-09,Heck,male,Q106471,Richard F. Heck,
1946-02-26,2016-08-02,Zewail,male,Q106624,Ahmed Zewail,
1947-01-15,,Chalfie,male,Q106699,Martin Chalfie,
1918-06-18,2013-06-06,Karle,male,Q106733,Jerome Karle,
1917-06-15,2010-12-10,Fenn,male,Q106738,John Fenn,
1943-06-06,2005-10-28,Smalley,male,Q106746,Richard Smalley,
1936-01-22,,Heeger,male,Q106751,Alan J. Heeger,
1887-11-19,1955-08-12,Sumner,male,Q106756,James B. Sumner,
1920-12-06,2002-08-31,Porter,male,Q106762,George Porter,
1903-11-27,1976-10-05,Onsager,male,Q107405,Lars Onsager,
1917-02-14,2011-10-23,Hauptman,male,Q107422,Herbert A. Hauptman,
1939-09-30,,Lehn,male,Q107690,Jean-Marie Lehn,
1940-08-23,2018-10-09,Steitz,male,Q109559,Thomas A. Steitz,
1895-05-12,1982-03-28,Giauque,male,Q110073,William Giauque,
1936-08-20,,Shirakawa,male,Q110916,Hideki Shirakawa,
1941-04-28,,Sharpless,male,Q110925,Karl Barry Sharpless,
1933-08-23,2022-07-03,Curl,male,Q110930,Robert Curl,
1919-12-09,2011-04-14,Lipscomb,male,Q110935,William Lipscomb,
1927-04-14,2007-02-07,MacDiarmid,male,Q110942,Alan MacDiarmid,
1917-06-01,2012-06-13,Knowles,male,Q110947,William Standish Knowles,
1913-09-04,1982-08-23,Moore,male,Q110952,Stanford Moore,
1938-10-04,,,male,Q110957,Kurt Wüthrich,
1959-08-03,,Tanaka,male,Q110963,Koichi Tanaka,
