start_id,relation,end_name
Gerhard Herzberg,RECEIVED,Q76602_1971
Q76602_1971,INSTANCE_OF,Nobel Prize in Chemistry
Gerhard Herzberg,CITIZEN_OF,Germany
Gerhard Herzberg,CITIZEN_OF,Canada
Gerhard Herzberg,CITIZEN_OF,Nazi Germany
Gerhard Herzberg,OCCUPATION,chemist
Gerhard Herzberg,OCCUPATION,university teacher
Gerhard Herzberg,OCCUPATION,astronomer
Gerhard Herzberg,OCCUPATION,physicist
Gerhard Herzberg,FIELD_OF_WORK,physical chemistry
Gerhard Herzberg,FIELD_OF_WORK,chemistry
Gerhard Herzberg,FIELD_OF_WORK,physics
Gerhard Herzberg,FIELD_OF_WORK,molecular spectroscopy
Gerhard Herzberg,FIELD_OF_WORK,atomic spectroscopy
Gerhard Herzberg,EDUCATED_AT,Technical University of Darmstadt
Gerhard Herzberg,EDUCATED_AT,Gelehrtenschule des Johanneums
Gerhard Herzberg,EDUCATED_AT,University of Göttingen
Gerhard Herzberg,EMPLOYED_AT,Yerkes Observatory
Gerhard Herzberg,EMPLOYED_AT,Cornell University
Gerhard Herzberg,EMPLOYED_AT,University of Chicago
Gerhard Herzberg,EMPLOYED_AT,University of Göttingen
Gerhard Herzberg,EMPLOYED_AT,Technical University of Darmstadt
Gerhard Herzberg,EMPLOYED_AT,University of Bristol
Gerhard Herzberg,EMPLOYED_AT,University of Saskatchewan
Gerhard Herzberg,EMPLOYED_AT,National Research Council Canada
Gerhard Herzberg,MEMBER_OF,Royal Society of Canada
Gerhard Herzberg,MEMBER_OF,Royal Society
Gerhard Herzberg,MEMBER_OF,Royal Swedish Academy of Sciences
Gerhard Herzberg,MEMBER_OF,National Academy of Sciences
Gerhard Herzberg,MEMBER_OF,Hungarian Academy of Sciences
Gerhard Herzberg,MEMBER_OF,American Academy of Arts and Sciences
Gerhard Herzberg,MEMBER_OF,International Academy of Quantum Molecular Science
Gerhard Herzberg,MEMBER_OF,Pontifical Academy of Sciences
Gerhard Herzberg,MEMBER_OF,Board of Governors of Carleton University
Carl Bosch,RECEIVED,Q76606_1931
Q76606_1931,INSTANCE_OF,Nobel Prize in Chemistry
Carl Bosch,CITIZEN_OF,German Reich
Carl Bosch,OCCUPATION,engineer
Carl Bosch,OCCUPATION,inventor
Carl Bosch,OCCUPATION,chemist
Carl Bosch,OCCUPATION,academic
Carl Bosch,OCCUPATION,scientific collector
Carl Bosch,FIELD_OF_WORK,chemistry
Carl Bosch,EDUCATED_AT,Technische Universität Berlin
Carl Bosch,EDUCATED_AT,Leipzig University
Carl Bosch,EMPLOYED_AT,IG Farben
Carl Bosch,EMPLOYED_AT,BASF
Carl Bosch,MEMBER_OF,Royal Swedish Academy of Sciences
Carl Bosch,MEMBER_OF,Royal Prussian Academy of Sciences
Carl Bosch,MEMBER_OF,German Academy of Sciences Leopoldina
Carl Bosch,MEMBER_OF,Heidelberg Academy for Sciences and Humanities
Manfred Eigen,RECEIVED,Q76600_1967
Q76600_1967,INSTANCE_OF,Nobel Prize in Chemistry
Manfred Eigen,CITIZEN_OF,Germany
Manfred Eigen,OCCUPATION,writer
Manfred Eigen,OCCUPATION,physicist
Manfred Eigen,OCCUPATION,chemist
Manfred Eigen,OCCUPATION,university teacher
Manfred Eigen,OCCUPATION,academic
Manfred Eigen,OCCUPATION,biophysicist
Manfred Eigen,FIELD_OF_WORK,biophysics
Manfred Eigen,EDUCATED_AT,University of Göttingen
Manfred Eigen,EDUCATED_AT,Gymnasium am Ostring
Manfred Eigen,EMPLOYED_AT,TU Braunschweig
Manfred Eigen,EMPLOYED_AT,University of Göttingen
