laureate,laureateLabel,award,awardLabel,year,is_citizen_of,works_as,works_in_field,educated_at,employed_by,is_member_of,has_motivation_en
http://www.wikidata.org/entity/Q76602,Gerhard Herzberg,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1971,"Germany, Canada, Nazi Germany","chemist, university teacher, astronomer, physicist","physical chemistry, chemistry, physics, molecular spectroscopy, atomic spectroscopy","Technical University of Darmstadt, Gelehrtenschule des Johanneums, University of Göttingen","Yerkes Observatory, Cornell University, University of Chicago, University of Göttingen, Technical University of Darmstadt, University of Bristol, University of Saskatchewan, National Research Council Canada","Royal Society of Canada, Royal Society, Royal Swedish Academy of Sciences, National Academy of Sciences, Hungarian Academy of Sciences, American Academy of Arts and Sciences, International Academy of Quantum Molecular Science, Pontifical Academy of Sciences, Board of Governors of Carleton University","for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals"
http://www.wikidata.org/entity/Q76606,Carl Bosch,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1931,German Reich,"engineer, inventor, chemist, academic, scientific collector",chemistry,"Technische Universität Berlin, Leipzig University","IG Farben, BASF","Royal Swedish Academy of Sciences, Royal Prussian Academy of Sciences, German Academy of Sciences Leopoldina, Heidelberg Academy for Sciences and Humanities",in recognition of their contributions to the invention and development of chemical high pressure methods
http://www.wikidata.org/entity/Q76600,Manfred Eigen,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1967,Germany,"writer, physicist, chemist, university teacher, academic, biophysicist",biophysics,"University of Göttingen, Gymnasium am Ostring","TU Braunschweig, University of Göttingen","German Academy of Sciences at Berlin, Royal Society, Russian Academy of Sciences, French Academy of Sciences, Berlin-Brandenburg Academy of Sciences and Humanities, National Academy of Sciences, Austrian Academy of Sciences, Hungarian Academy of Sciences, Academia Europaea, Göttingen Academy of Sciences and Humanities in Lower Saxony, German Academy of Sciences Leopoldina, American Academy of Arts and Sciences, Academy of Sciences of the USSR, European Molecular Biology Organization, Bavarian Academy of Sciences and Humanities, Pontifical Academy of Sciences","for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
http://www.wikidata.org/entity/Q70554,Emil Fischer,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1902,German Empire,"chemist, university teacher, biochemist",chemistry,"University of Bonn, University of Strasbourg","University of Würzburg, University of Strasbourg, Humboldt-Universität zu Berlin, Ludwig-Maximilians-Universität München, Friedrich-Alexander-Universität Erlangen-Nürnberg","Royal Society, Russian Academy of Sciences, Royal Swedish Academy of Sciences, National Academy of Sciences, Royal Prussian Academy of Sciences, Göttingen Academy of Sciences and Humanities in Lower Saxony, Lincean Academy, Académie Nationale de Médecine, American Academy of Arts and Sciences, Academy of Sciences of Turin, Romanian Academy, Royal Physiographic Society in Lund, Bavarian Academy of Sciences and Humanities, Accademia Nazionale delle Scienze detta dei XL",in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses.
http://www.wikidata.org/entity/Q76595,Kurt Alder,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1950,Germany,"chemist, university teacher",chemistry,"Humboldt-Universität zu Berlin, Kiel University","Kiel University, University of Cologne","North Rhine-Westphalia Academy for Sciences and Arts, German Academy of Sciences Leopoldina, Bavarian Academy of Sciences and Humanities",for their discovery and development of the diene synthesis
http://www.wikidata.org/entity/Q73093,Paul Karrer,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1937,Switzerland,"chemist, university teacher, biochemist",organic chemistry,University of Zurich,University of Zurich,"Royal Society, French Academy of Sciences, Royal Swedish Academy of Sciences, National Academy of Sciences, Académie Nationale de Médecine, German Academy of Sciences Leopoldina, Academy of Sciences of Turin, Bavarian Academy of Sciences and Humanities, Accademia Nazionale delle Scienze detta dei XL","for his investigations on carotenoids, flavins and vitamins A and B2"
http://www.wikidata.org/entity/Q76604,Hans Fischer,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1930,"Germany, Nazi Germany, Weimar Republic, German Empire","internist, biochemist, university teacher, chemist, physician","biochemistry, internal medicine, medicine, organic chemistry, clinical chemistry","University of Lausanne, Technical University of Munich, University of Marburg, Ludwig-Maximilians-Universität München","University of Vienna, Technical University of Munich, University of Innsbruck","Royal Prussian Academy of Sciences, Göttingen Academy of Sciences and Humanities in Lower Saxony, German Academy of Sciences Leopoldina, Burschenschaft Alemannia Marburg, Bavarian Academy of Sciences and Humanities",for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin
http://www.wikidata.org/entity/Q76610,Heinrich Wieland,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1927,"Nazi Germany, Weimar Republic, German Empire, West Germany","university teacher, chemist","biochemistry, organic chemistry",Ludwig-Maximilians-Universität München,"Ludwig-Maximilians-Universität München, University of Freiburg, Technical University of Munich","Bavarian Academy of Sciences and Humanities, Academy of Sciences of the USSR, Heidelberg Academy for Sciences and Humanities, American Academy of Arts and Sciences, German Academy of Sciences Leopoldina, Göttingen Academy of Sciences and Humanities in Lower Saxony, Royal Prussian Academy of Sciences, National Academy of Sciences, Russian Academy of Sciences, Royal Society",for his investigations of the constitution of the bile acids and related substances
http://www.wikidata.org/entity/Q76614,Friedrich Bergius,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1931,Germany,"university teacher, chemist",chemistry,"University of Wrocław, Leipzig University",Leibniz University Hannover,Heidelberg Academy for Sciences and Humanities,in recognition of their contributions to the invention and development of chemical high pressure methods
http://www.wikidata.org/entity/Q76612,Johann Deisenhofer,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1988,"United States, Germany","biophysicist, biochemist, university teacher, chemist, physicist",biochemistry,Technical University of Munich,"Technical University of Munich, Howard Hughes Medical Institute, University of Texas Southwestern Medical Center","German Academy of Sciences Leopoldina, Academia Europaea, National Academy of Sciences, American Association for the Advancement of Science",for the determination of the three-dimensional structure of a photosynthetic reaction centre
http://www.wikidata.org/entity/Q76613,Hans von Euler-Chelpin,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1929,"Sweden, Germany","biochemist, university teacher, chemist, military personnel",chemistry,"University of Würzburg, Humboldt-Universität zu Berlin",Stockholm University,"Royal Swedish Academy of Engineering Sciences, Bavarian Academy of Sciences and Humanities, Japan Academy, Finnish Academy of Science and Letters, Academy of Sciences of the USSR, German Academy of Sciences Leopoldina, Lincean Academy, Göttingen Academy of Sciences and Humanities in Lower Saxony, Royal Prussian Academy of Sciences, Royal Swedish Academy of Sciences, French Academy of Sciences, Russian Academy of Sciences, German Academy of Sciences at Berlin",for their investigations on the fermentation of sugar and fermentative enzymes
http://www.wikidata.org/entity/Q76616,Otto Diels,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1950,Germany,"university teacher, chemist",chemistry,Humboldt-Universität zu Berlin,"Humboldt-Universität zu Berlin, Kiel University","Bavarian Academy of Sciences and Humanities, German Academy of Sciences Leopoldina, Göttingen Academy of Sciences and Humanities in Lower Saxony",for their discovery and development of the diene synthesis
http://www.wikidata.org/entity/Q76623,Robert Huber,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1988,Germany,"biochemist, university teacher, chemist",biochemistry,Technical University of Munich,"Technical University of Munich, University of Duisburg-Essen, Cardiff University","Bavarian Academy of Sciences and Humanities, Indian National Science Academy, German Academy of Sciences Leopoldina, Lincean Academy, Academia Europaea, National Academy of Sciences, Royal Society, European Academy of Sciences and Arts",for the determination of the three-dimensional structure of a photosynthetic reaction centre
http://www.wikidata.org/entity/Q76624,Karl Ziegler,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1963,Germany,"university teacher, chemist, engineer",inorganic chemistry,"RWTH Aachen University, University of Marburg","Martin Luther University Halle-Wittenberg, Goethe University Frankfurt, Heidelberg University, University of Marburg, RWTH Aachen University, Max Planck Institute for Coal Research","German Academy of Sciences Leopoldina, Bavarian Academy of Sciences and Humanities, North Rhine-Westphalia Academy for Sciences and Arts, Göttingen Academy of Sciences and Humanities in Lower Saxony, Royal Society of Edinburgh, Royal Society",for their discoveries in the field of the chemistry and technology of high polymers
http://www.wikidata.org/entity/Q76951,George de Hevesy,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1943,"Hungary, Sweden","university teacher, chemist",chemistry,"Piarist Gymnasium of Budapest, Eötvös Loránd University, University of Freiburg, Technische Universität Berlin","ETH Zurich, University of Freiburg, University of Copenhagen, Eötvös Loránd University, University of Copenhagen Niels Bohr Institute, Stockholm University, University of Manchester","Polish Academy of Learning, Pontifical Academy of Sciences, Heidelberg Academy for Sciences and Humanities, German Academy of Sciences Leopoldina, American Academy of Arts and Sciences, Hungarian Academy of Sciences, Royal Swedish Academy of Sciences, Royal Society",for his work on the use of isotopes as tracers in the study of chemical processes
